Date,Open,High,Low,Close,AdjClose,Volume
2024-01-05,396.4500,399.5600,395.3400,396.7500,391.4916,44922800
2024-01-08,397.9900,405.2400,397.8400,404.9500,399.5829,42473800
2024-01-09,401.9100,406.6900,401.7100,405.7500,400.3723,39132900
2024-01-10,406.0700,409.5200,405.1700,408.5000,403.0859,33962800
2024-01-11,409.7900,411.2000,404.2400,409.3500,403.9246,54536200
2024-01-12,410.4000,411.2500,408.1500,409.5600,404.1319,39595000
2024-01-16,408.3100,411.1200,406.8300,409.5200,404.0923,43903000
2024-01-17,406.1700,407.5900,402.9200,407.2100,401.8130,54386000
2024-01-18,410.5200,413.5800,409.1600,412.9900,407.5164,59562500
2024-01-19,415.2200,421.3400,414.6300,421.1800,415.5977,70325100
2024-01-22,423.4100,424.7300,421.1200,421.7300,416.1406,44880600
2024-01-23,422.4300,423.7000,420.5700,423.4800,417.8673,33003800
2024-01-24,427.4400,429.8500,425.3300,425.8300,420.1862,46948000
2024-01-25,428.3600,429.0400,423.9800,426.3500,420.6993,44367200
2024-01-26,424.4400,426.2100,423.1500,423.8100,418.1929,37137000
2024-01-29,424.2700,428.3500,423.6100,428.1500,422.4754,38694700
2024-01-30,427.1000,427.6800,424.3800,425.3000,419.6631,36739000
2024-01-31,420.8500,422.8700,416.7900,416.9700,411.4436,64010600
2024-02-01,418.7900,422.3800,417.8100,421.8800,416.2885,51008600
2024-02-02,423.8000,430.2400,422.7900,429.0100,423.3240,59602400
2024-02-05,429.0700,429.6100,425.0000,428.4500,422.7715,39889200
2024-02-06,429.6100,430.2200,425.2200,427.5900,421.9228,35846100
2024-02-07,430.4100,432.8300,429.0900,431.9900,426.2645,37712700
2024-02-08,432.1100,433.5600,431.4200,432.7900,427.0540,29889900
2024-02-09,433.9400,437.8500,433.1400,437.0500,431.2574,36943900
2024-02-12,436.9400,439.1400,434.6500,435.3400,429.5701,33203300
2024-02-13,427.2800,431.2700,425.3300,428.5500,422.8701,64491700
2024-02-14,431.2600,433.6500,428.8800,433.2200,427.4782,45092700
2024-02-15,433.9200,434.9800,431.3300,434.5100,428.7512,38796100
2024-02-16,434.8900,434.9900,429.8500,430.5700,424.8633,53716500
2024-02-20,428.5500,430.0800,423.5000,427.3200,421.6564,53999500
2024-02-21,424.5500,425.7000,421.6300,425.6100,419.9691,49779000
2024-02-22,434.4900,439.1200,433.7100,438.0700,432.2640,53887800
2024-02-23,439.6500,440.5900,435.7900,436.7800,430.9911,39853900
2024-02-26,437.6000,438.6000,436.3600,436.5500,430.7641,33043200
2024-02-27,437.6700,437.9900,435.0300,437.6000,431.8002,33713200
2024-02-28,435.4300,436.6700,434.3000,435.2700,429.5011,32938800
2024-02-29,438.2300,440.0900,435.0200,439.0000,433.1816,42495200
2024-03-01,439.9000,446.5800,439.8400,445.6100,439.7039,43853000
2024-03-04,445.6100,446.0400,443.7700,444.0200,438.1351,34325700
2024-03-05,440.9400,440.9500,433.6500,436.0500,430.2707,57917100
2024-03-06,440.3200,441.9900,436.8900,438.7900,432.9744,46234500
2024-03-07,442.4200,446.7200,440.8600,445.4500,439.5462,44526700
2024-03-08,445.8100,448.6400,438.3400,439.0200,433.2013,72096000
2024-03-11,437.5100,438.6600,435.4400,437.3900,431.5930,45860000
2024-03-12,439.7300,444.0200,436.4600,443.6600,437.7799,55300900
2024-03-13,442.6500,442.6700,439.1200,440.2500,434.4151,37928700
2024-03-14,441.5000,442.0300,436.3900,439.1400,433.3198,52195200
2024-03-15,436.0700,438.8700,432.7400,433.9200,428.1690,73069800
2024-03-18,438.7300,441.0400,437.2400,437.4800,432.2525,47323800
2024-03-19,435.4500,438.9800,433.3300,438.5700,433.3296,43004100
2024-03-20,439.7800,444.1100,438.0600,443.7700,438.4674,43653500
2024-03-21,448.8800,449.3400,445.6700,445.8700,440.5423,39345700
2024-03-22,445.3500,447.4900,444.4900,446.3800,441.0462,28253900
2024-03-25,443.5500,446.2600,442.5400,444.7600,439.4456,27789200
2024-03-26,446.3000,447.2300,443.0900,443.3200,438.0228,34142000
2024-03-27,446.4400,446.5400,441.9300,444.8300,439.5147,41359200
2024-03-28,444.7800,445.6400,443.6500,444.0100,438.7046,36839600
2024-04-01,444.9700,447.5300,443.0200,444.9500,439.6333,38729000
2024-04-02,440.0800,441.4300,438.0300,441.1100,435.8392,44259700
2024-04-03,438.9600,444.0000,438.9500,442.1000,436.8174,39949800
2024-04-04,446.3300,446.9500,435.1100,435.3400,430.1382,57267700
2024-04-05,436.7800,443.1700,435.9600,440.4700,435.2068,54744600
2024-04-08,441.4100,442.5000,439.2000,440.6000,435.3353,28144900
2024-04-09,442.9600,443.2400,437.4400,442.2300,436.9458,39443600
2024-04-10,437.0000,439.2400,436.2800,438.3700,433.1320,61502200
2024-04-11,440.2600,446.3300,437.9600,445.3700,440.0483,45474600
2024-04-12,441.1000,442.2400,436.8800,438.2700,433.0331,53665000
2024-04-15,442.0600,442.1500,430.2100,431.0600,425.9093,63453600
2024-04-16,430.9000,433.7600,429.7000,431.1000,425.9488,47619000
2024-04-17,433.1000,433.1200,424.9000,425.8400,420.7516,56880500
2024-04-18,426.4900,428.2400,422.8300,423.4100,418.3507,46549400
2024-04-19,422.2200,422.7500,413.0700,414.6500,409.6954,75231000
2024-04-22,417.3100,421.1800,413.9400,418.8200,413.8156,47807700
2024-04-23,420.7700,426.2800,418.8700,425.0700,419.9909,44384700
2024-04-24,428.2000,429.7300,424.2000,426.5100,421.4137,48440300
2024-04-25,419.2400,425.3200,418.1400,424.4500,419.3783,57392200
2024-04-26,427.6200,432.5500,426.9200,431.0000,425.8500,41874900
2024-04-29,433.1300,433.7600,429.9800,432.7500,427.5791,30022200
2024-04-30,431.1500,432.5600,424.5100,424.5900,419.5166,43665900
2024-05-01,423.1500,430.1400,420.6600,421.5200,416.4832,52251700
2024-05-02,425.3000,427.8100,420.6300,426.9000,421.7990,36559000
2024-05-03,434.4400,436.4800,432.6200,435.4800,430.2765,48515300
2024-05-06,437.3000,440.3400,436.5200,440.2500,434.9895,30227200
2024-05-07,440.7000,441.9700,439.5800,440.3200,435.0586,30996100
2024-05-08,437.6700,441.4800,437.5500,440.0600,434.8017,24896700
2024-05-09,440.3300,441.6000,438.4600,441.0200,435.7503,24580100
2024-05-10,442.5400,444.3100,440.5000,442.0600,436.7779,27116600
2024-05-13,443.9900,444.0900,441.6500,443.0800,437.7857,22994200
2024-05-14,442.6500,446.4700,442.4600,445.9300,440.6016,34478300
2024-05-15,448.4300,453.1500,446.9000,452.9000,447.4884,41464700
2024-05-16,452.7100,454.6900,451.8100,451.9800,446.5793,34780400
2024-05-17,452.1100,452.7200,449.5400,451.7600,446.3619,35803700
2024-05-20,451.9800,455.5800,451.7900,454.9100,449.4743,24474200
2024-05-21,453.0400,455.9900,452.8400,455.8000,450.3537,23167700
2024-05-22,456.0600,456.8200,453.0800,455.7100,450.2647,25120000
2024-05-23,460.5500,460.5800,451.8500,453.6600,448.2393,40899200
2024-05-24,455.2900,459.2300,453.5700,457.9500,452.4780,29669500
2024-05-28,459.1800,459.7400,456.6900,459.6800,454.1873,26216800
2024-05-29,455.4800,458.2400,455.3400,456.4400,450.9861,29739200
2024-05-30,455.5000,455.6400,450.2100,451.5500,446.1544,30536800
2024-05-31,451.7800,452.4800,443.0600,450.7100,445.3245,55941300
2024-06-03,454.5700,455.5800,447.9000,453.1300,447.7156,32997500
2024-06-04,452.8700,455.5800,451.1300,454.3700,448.9408,23767400
2024-06-05,457.9800,463.6100,454.4100,463.5300,457.9913,33817400
2024-06-06,464.2200,464.5400,462.1900,463.3700,457.8332,21966800
2024-06-07,463.0000,465.7400,461.8400,462.9600,457.4281,25829700
2024-06-10,461.8200,465.1900,461.5300,464.8300,459.2757,20660800
2024-06-11,463.5400,468.1400,462.0300,468.0200,462.4276,22053300
2024-06-12,471.9900,476.5000,471.2900,474.1500,468.4844,34532600
2024-06-13,477.7200,478.3900,474.4200,476.7200,471.0237,25859000
2024-06-14,476.5200,479.2600,476.0500,479.1900,473.4642,23372600
2024-06-17,479.4600,486.8600,478.1400,485.0600,479.2641,37054500
2024-06-18,485.0100,485.9000,483.4300,485.2100,479.4122,24438600
2024-06-20,486.4200,486.8400,479.6200,481.4700,475.7169,33918700
2024-06-21,481.1900,482.5400,478.6700,480.1800,474.4424,37456800
2024-06-24,478.1800,479.9300,473.8200,473.9600,469.0410,37751000
2024-06-25,476.0700,479.6800,475.1200,479.3800,474.4048,29014700
2024-06-26,478.5500,480.9200,478.1300,480.3700,475.3845,22737100
2024-06-27,480.1200,483.1000,479.3000,481.6100,476.6116,26222100
2024-06-28,482.4100,487.2000,478.4600,479.1100,474.1375,34881600
2024-07-01,480.0400,482.4900,476.2600,481.9200,476.9184,24898300
2024-07-02,480.4100,487.0400,480.2800,486.9800,481.9259,26723600
2024-07-03,486.2200,491.1700,486.2200,491.0400,485.9438,18064900
2024-07-05,491.8900,496.6000,491.5900,496.1600,491.0106,28495900
2024-07-08,496.5300,497.9000,495.5000,497.3400,492.1783,22109400
2024-07-09,498.8700,500.0000,496.2400,497.7700,492.6039,25614500
2024-07-10,499.7100,503.5200,498.3900,502.9600,497.7400,28046900
2024-07-11,503.0700,503.2800,490.7300,491.9300,486.8245,49966600
2024-07-12,492.5100,499.6200,492.0400,494.8200,489.6846,37109400
2024-07-15,496.6100,501.0100,494.0900,496.1500,491.0007,31151400
2024-07-16,497.6200,498.4400,493.1500,496.3400,491.1887,25950600
2024-07-17,488.2800,488.8000,481.7000,481.7700,476.7700,56268800
2024-07-18,485.5300,485.7100,476.2700,479.4900,474.5136,49347400
2024-07-19,479.1500,481.6900,473.9400,475.2400,470.3077,42042900
2024-07-22,481.1600,483.3500,477.7100,482.3200,477.3143,40300000
2024-07-23,481.4100,484.4300,480.1400,480.6200,475.6319,23282500
2024-07-24,473.8200,474.1900,462.5100,463.3800,458.5708,58818600
2024-07-25,463.7200,467.9400,455.6300,458.2700,453.5138,59256800
2024-07-26,462.6500,465.9300,459.7700,462.9700,458.1650,39992100
2024-07-29,465.7100,467.9100,461.6200,463.9000,459.0854,28218500
2024-07-30,465.8500,466.5600,454.1500,457.5300,452.7815,41317200
2024-07-31,467.8700,472.7900,466.4100,471.0700,466.1811,44552100
2024-08-01,471.7600,475.5500,455.9800,459.6600,454.8894,56653900
2024-08-02,450.8900,453.5700,444.4700,448.7500,444.0927,66323200
2024-08-05,424.7100,442.2900,423.4500,435.3700,430.8515,87483500
2024-08-06,437.2300,447.0700,434.5600,439.5300,434.9684,63164400
2024-08-07,446.4900,449.0000,434.3700,434.7700,430.2578,54929200
2024-08-08,441.0600,448.9900,437.1500,448.0700,443.4197,47890100
2024-08-09,446.7400,452.0600,445.6100,450.4100,445.7354,33574000
2024-08-12,451.3900,454.3700,448.5500,451.3800,446.6953,27795000
2024-08-13,455.8200,462.8500,455.6800,462.5800,457.7791,40084500
2024-08-14,463.5100,465.1100,458.4000,462.7300,457.9276,34733700
2024-08-15,468.7600,474.8200,468.3800,474.4200,469.4962,38280600
2024-08-16,472.6200,476.4100,471.6500,475.0300,470.0999,38383600
2024-08-19,475.1700,481.3100,473.3700,481.2700,476.2751,23737700
2024-08-20,480.3500,482.9400,478.5500,480.2600,475.2757,29209300
2024-08-21,481.0500,484.3700,479.3200,482.5000,477.4923,25658800
2024-08-22,484.8400,485.5400,473.8100,474.8500,469.9218,37739600
2024-08-23,479.2400,482.7400,475.2800,480.0000,475.0183,36061500
2024-08-26,479.4500,480.3800,473.2400,475.3400,470.4067,27452600
2024-08-27,473.6900,477.8400,471.7100,476.7600,471.8119,27510000
2024-08-28,476.2900,477.0200,467.8900,471.3500,466.4581,37372400
2024-08-29,473.2800,477.9300,469.3700,470.6600,465.7753,41081500
2024-08-30,475.0400,476.9000,470.5100,476.2700,471.3270,33466500
2024-09-03,473.2000,473.3300,459.4100,461.8100,457.0171,44985200
2024-09-04,458.6700,464.4500,457.7300,460.6100,455.8295,32505100
2024-09-05,458.9700,465.3600,457.9400,461.0400,456.2550,34452400
2024-09-06,460.3300,461.2200,448.1900,448.6900,444.0333,50624400
2024-09-09,453.0600,455.4600,449.8200,454.4600,449.7433,32981200
2024-09-10,456.2400,459.1700,452.2300,458.6600,453.8997,29680300
2024-09-11,459.9100,469.3700,451.2800,468.6200,463.7564,57843000
2024-09-12,468.6500,474.0400,466.8500,473.2200,468.3087,40067800
2024-09-13,472.4800,476.5300,472.2500,475.3400,470.4067,29111800
2024-09-16,473.1900,473.8600,469.8900,473.2400,468.3285,22585600
2024-09-17,476.2900,477.6000,470.9700,473.4900,468.5759,30084400
2024-09-18,474.7000,478.8300,470.8300,471.4400,466.5472,39909200
2024-09-19,482.6100,486.2300,480.4900,483.3600,478.3434,52782500
2024-09-20,482.4900,483.6900,478.3000,482.4400,477.4330,34577700
2024-09-23,482.9500,484.1400,481.6000,483.0400,478.6985,24843000
2024-09-24,484.4600,486.3300,480.1700,485.3700,481.0075,25952600
2024-09-25,484.7400,487.7900,484.5600,485.8200,481.4536,26549900
2024-09-26,493.3700,493.7000,485.8000,489.4700,485.0707,32020200
2024-09-27,490.5000,490.6400,485.5600,486.7500,482.3752,22851100
2024-09-30,485.7800,488.4100,482.9200,488.0700,483.6833,30281100
2024-10-01,487.7000,488.0000,477.4000,481.2700,476.9444,42735400
2024-10-02,480.3600,483.8800,477.7200,481.9500,477.6183,23744000
2024-10-03,479.7400,484.5500,478.9900,481.5900,477.2616,25337200
2024-10-04,487.4500,487.8800,482.3900,487.3200,482.9400,30686600
2024-10-07,485.3900,486.5700,480.8700,482.1000,477.7670,24975100
2024-10-08,484.6600,489.9900,483.8500,489.3000,484.9022,28272000
2024-10-09,489.0000,493.7300,487.9500,493.1500,488.7177,24995000
2024-10-10,490.8500,494.4700,489.5300,492.5900,488.1627,25750400
2024-10-11,490.7400,494.3900,490.1700,493.3600,488.9258,20644500
2024-10-14,495.7700,498.8300,495.2600,497.5000,493.0285,26060100
2024-10-15,497.8300,498.5000,488.6800,490.8500,486.4383,34784500
2024-10-16,491.1800,491.6900,487.5700,490.9100,486.4978,22996800
2024-10-17,496.4400,496.4900,491.1900,491.2500,486.8347,27210700
2024-10-18,494.0600,495.5700,493.3000,494.4700,490.0258,25335000
2024-10-21,493.2500,496.2300,491.3100,495.4200,490.9673,30336500
2024-10-22,492.7300,497.4500,491.9700,495.9600,491.5024,26685800
2024-10-23,493.5900,494.2500,485.0500,488.3600,483.9707,39346600
2024-10-24,492.1100,493.0000,489.4400,492.3200,487.8951,22024900
2024-10-25,495.1400,500.2800,494.4300,495.3200,490.8682,38762100
2024-10-28,498.4600,498.5200,495.1000,495.4000,490.9474,20477800
2024-10-29,495.7200,501.3500,493.8500,500.1600,495.6646,28014100
2024-10-30,499.3900,500.3500,495.8900,496.3800,491.9186,29756000
2024-10-31,492.3800,492.4300,483.7500,483.8500,479.5013,41245200
2024-11-01,485.5000,490.7500,485.2000,487.4300,483.0490,33655800
2024-11-04,486.8200,489.3800,484.2500,486.0100,481.6418,23291600
